,subject,trial,rt,choice,gaze_0,gaze_1,RT,item_value_0,item_value_1
55,1,55,1954.547,1,0.61004195,0.38995805,1954.547,4,3
56,1,56,1901.984,1,0.418559144,0.581440856,1901.984,2,3
57,1,57,3133.506,1,0.590724335,0.409275665,3133.506,0,2
58,1,58,2545.418,1,0.576064325,0.423935675,2545.418,5,6
59,1,59,2023.468,0,0.682048791,0.317951209,2025.468,6,4
60,1,60,3330.755,1,0.50365603,0.49634397,3330.755,3,3
61,1,61,1866.57,0,0.617115785,0.382884215,1866.57,0,0
62,1,62,1604.858,1,0.518080577,0.481919423,1607.858,5,6
63,1,63,2458.127,1,0.595483544,0.404516456,2458.127,3,5
64,1,64,4970.636,0,0.61759933,0.38240067,4970.636,6,5
65,1,65,3115.157,0,0.769842697,0.230157303,3115.157,5,3
66,1,66,3128.098,0,0.713743343,0.286256657,3128.098,6,5
67,1,67,3745.136,0,0.753764348,0.246235652,3745.136,3,2
68,1,68,3673.352,1,0.602562199,0.397437801,3673.352,0,2
69,1,69,4942.765,1,0.719398893,0.280601107,4942.765,5,6
70,1,70,2224.593,0,0.693702441,0.306297559,2226.593,0,2
71,1,71,2997.098,1,0.61247899,0.38752101,2997.098,6,5
72,1,72,1391.738,1,0.511924103,0.488075897,1394.738,4,6
73,1,73,3340.985,0,0.706089459,0.293910541,3340.985,6,5
74,1,74,1648.785,1,0.611459724,0.388540276,1651.785,3,5
75,1,75,1990.089,0,0.674876536,0.325123464,1993.089,3,4
76,1,76,2490.532,1,0.504707663,0.495292337,2492.532,0,2
77,1,77,2508.017,0,0.670174845,0.329825155,2508.017,3,3
78,1,78,2293.524,1,0.548158774,0.451841226,2293.524,0,0
79,1,79,3004.818,1,0.701157586,0.298842414,3004.818,2,3
80,1,80,3496.366,1,0.38744884,0.61255116,3646.366,0,2
81,1,81,2849.513,1,0.554174031,0.445825969,2699.513,0,0
82,1,82,1540.393,1,0.366176609,0.633823391,1540.393,3,5
83,1,83,2342.863,0,0.6881492,0.3118508,2342.863,7,6
84,1,84,2502.521,1,0.501892378,0.498107622,2504.521,5,6
85,1,85,1799.627,0,0.646072094,0.353927906,1802.627,5,3
86,1,86,5352.23,1,0.710009833,0.289990167,5352.23,3,3
87,1,87,2424.21,0,0.790100859,0.209899141,2424.21,5,3
88,1,88,1269.404,1,0.560204249,0.439795751,1269.404,3,5
89,1,89,2779.274,0,0.467913508,0.532086492,2779.274,5,3
90,1,90,2537.132,0,0.731071178,0.268928822,2537.132,3,2
91,1,91,2351.272,1,0.50418983,0.49581017,2354.272,3,5
92,1,92,2358.716,0,0.598399804,0.401600196,2358.716,4,3
93,1,93,2684.724,0,0.524504748,0.475495252,2687.724,0,0
94,1,94,1983.477,1,0.542169463,0.457830537,1983.477,5,6
95,1,95,4650.79,1,0.563355808,0.436644192,4650.79,3,4
96,1,96,3835.065,0,0.644743172,0.355256828,3835.065,2,0
97,1,97,3849.206,1,0.69547671,0.30452329,3849.206,0,0
98,1,98,3243.343,0,0.756965873,0.243034127,3243.343,6,5
99,1,99,1644.584,1,0.60673106,0.39326894,1644.584,3,3
100,1,100,1274.981,1,0.4332852,0.5667148,1274.981,0,0
101,1,101,2589.055,1,0.443062768,0.556937232,2591.055,0,0
102,1,102,2300.565,0,0.652261079,0.347738921,2300.565,2,0
103,1,103,2922.026,0,0.766900278,0.233099722,2922.026,7,6
104,1,104,1135.847,1,0.422159955,0.577840045,1135.847,0,0
105,1,105,1991.672,1,0.519142567,0.480857433,1993.672,0,2
106,1,106,1851.808,0,0.678951108,0.321048892,1851.808,4,3
107,1,107,1321.034,1,0.534778591,0.465221409,1321.034,0,0
108,1,108,4003.124,1,0.636556432,0.363443568,4006.124,0,0
109,1,109,1954.281,0,0.673015781,0.326984219,1957.281,3,4
110,1,110,2030.128,1,0.511133784,0.488866216,2030.128,0,2
111,1,111,1964.125,0,0.725773868,0.274226132,1964.125,2,0
112,1,112,2014.069,0,0.705273351,0.294726649,2014.069,7,6
113,1,113,1598.829,1,0.492025778,0.507974222,1598.829,2,3
114,1,114,1453.603,1,0.436673937,0.563326063,1453.603,3,2
115,1,115,1977.727,1,0.716265795,0.283734205,1980.727,2,3
116,1,116,1623.897,1,0.440965261,0.559034739,1623.897,6,7
117,1,117,2901.364,1,0.653670724,0.346329276,2901.364,6,7
118,1,118,1565.164,1,0.503136152,0.496863848,1568.164,6,7
119,1,119,1559.884,1,0.488782443,0.511217557,1559.884,6,5
120,2,0,6228.547,1,0.57560723,0.42439277,6228.547,6,7
121,2,1,6635.751,1,0.533658252,0.466341748,6635.751,0,0
122,2,2,4766.744,0,0.794865808,0.205134192,4766.744,0,0
123,2,3,10945.402,0,0.697909257,0.302090743,10945.402,2,0
124,2,4,5673.265,1,0.830204315,0.169795685,5673.265,0,0
125,2,5,46657.359,1,0.119482092,0.880517908,46657.359,5,6
126,2,6,7750.691,0,0.718689868,0.281310132,7750.691,3,3
127,2,7,9776.843,0,0.552406805,0.447593195,9776.843,6,5
128,2,8,7758.235,1,0.419489017,0.580510983,7758.235,0,0
129,2,9,44526.337,0,0.912837365,0.087162635,45128.337,6,5
130,2,10,10806.455,1,0.599278187,0.400721813,10204.455,0,0
131,2,11,5936.281,1,0.663629189,0.336370811,5936.281,3,4
132,2,12,22118.048,0,0.159116379,0.840883621,22118.048,0,2
133,2,13,7867.572,0,0.629828517,0.370171483,7867.572,0,0
134,2,14,24336.379,1,0.797748472,0.202251528,24336.379,6,7
135,2,15,12568.18,0,0.835950742,0.164049258,12568.18,5,3
136,2,16,7216.421,1,0.488293479,0.511706521,7216.421,2,3
137,2,17,24450.946,0,0.221723999,0.778276001,24450.946,4,3
138,2,18,20652.52,1,0.873862367,0.126137633,20652.52,5,6
139,2,19,9962.632,0,0.656616021,0.343383979,9962.632,2,0
140,2,20,15264.738,0,0.564607821,0.435392179,15264.738,0,0
141,2,21,14577.04,1,0.69766147,0.30233853,14775.04,6,7
142,2,22,10502.538,0,0.686640726,0.313359274,10495.538,3,3
143,2,23,8938.346,1,0.643958438,0.356041562,8747.346,3,5
144,2,24,8371.705,1,0.575343385,0.424656615,8371.705,0,0
145,2,25,8634.889,0,0.4307717,0.5692283,8634.889,0,2
146,2,26,9256.349,0,0.773567799,0.226432201,9256.349,0,0
147,2,27,98982.33,0,0.923418628,0.076581372,98982.33,6,5
148,2,28,71123.695,0,0.832842629,0.167157371,71123.695,7,6
149,2,29,14323.977,1,0.668546526,0.331453474,14323.977,7,6
150,2,30,11246.8,1,0.763044369,0.236955631,11246.8,7,6
151,2,31,5729.582,1,0.600131592,0.399868408,5729.582,6,7
152,2,32,15507.063,1,0.409876877,0.590123123,15507.063,6,7
153,2,33,9584.002,0,0.704130712,0.295869288,9584.002,0,0
154,2,34,15060.043,1,0.522569311,0.477430689,15060.043,3,3
155,2,35,13755.941,1,0.535299005,0.464700995,13755.941,7,6
156,2,36,4962.179,0,0.625553442,0.374446558,4962.179,3,2
157,2,37,7058.905,1,0.653171385,0.346828615,7058.905,3,3
158,2,38,6745.102,1,0.536510782,0.463489218,6745.102,7,6
159,2,39,5223.511,1,0.605081376,0.394918624,5225.511,5,6
160,2,40,6980.156,0,0.540335309,0.459664691,4727.156,7,6
161,2,41,7323.464,1,0.503282021,0.496717979,7323.464,0,2
162,2,42,12685.652,1,0.521921191,0.478078809,12685.652,2,0
163,2,43,6234.269,0,0.595785035,0.404214965,6236.269,3,2
164,2,44,7470.982,1,0.501339179,0.498660821,7473.982,5,6
165,2,45,19803.463,0,0.608540731,0.391459269,19803.463,2,0
166,2,46,4605.276,0,0.486431802,0.513568198,4605.276,5,3
167,2,47,10068.237,1,0.568574093,0.431425907,10071.237,3,3
168,2,48,4717.351,1,0.678824453,0.321175547,4717.351,6,7
169,2,49,10498.412,0,0.589050042,0.410949958,10498.412,2,0
170,2,50,4786.207,1,0.505419107,0.494580893,4786.207,6,7
171,2,51,17514.257,0,0.719718898,0.280281102,17514.257,2,0
172,2,52,7383.357,0,0.504990174,0.495009826,7383.357,2,0
173,2,53,19661.432,0,0.664303809,0.335696191,19664.432,7,6
174,2,54,11765.399,1,0.569102918,0.430897082,11765.399,3,3
175,2,55,11965.88,0,0.544125948,0.455874052,11965.88,4,3
176,2,56,3989.236,1,0.668575058,0.331424942,3989.236,2,3
177,2,57,9313.449,0,0.566032127,0.433967873,9315.449,0,2
178,2,58,10580.194,1,0.574559893,0.425440107,10580.194,5,6
179,2,59,6636.98,0,0.625419138,0.374580862,6636.98,6,4
180,2,60,6202.516,1,0.674492665,0.325507335,6202.516,3,3
181,2,61,28899.841,1,0.513022736,0.486977264,28899.841,0,0
182,2,62,9338.527,1,0.548337316,0.451662684,9338.527,5,6
183,2,63,4110.953,1,0.572667237,0.427332763,4110.953,3,5
184,2,64,5941.794,0,0.553392129,0.446607871,5941.794,6,5
185,2,65,2614.124,0,0.669128373,0.330871627,2614.124,5,3
186,2,66,5470.66,0,0.565555771,0.434444229,5473.66,6,5
187,2,67,11858.61,0,0.501973958,0.498026042,11860.61,3,2
188,2,68,4419.104,1,0.529958128,0.470041872,4421.104,0,2
189,2,69,8740.806,1,0.513166421,0.486833579,8740.806,5,6
190,2,70,11192.925,0,0.655861447,0.344138553,11192.925,0,2
191,2,71,11204.062,0,0.640469619,0.359530381,11204.062,6,5
192,2,72,7304.684,1,0.564808163,0.435191837,7304.684,4,6
193,2,73,8140.553,1,0.514233038,0.485766962,8140.553,6,5
194,2,74,10329.606,1,0.597448263,0.402551737,10329.606,3,5
195,2,75,6838.95,1,0.499469543,0.500530457,6838.95,3,4
196,2,76,7156.253,1,0.573014549,0.426985451,7156.253,0,2
197,2,77,23243.997,0,0.564095639,0.435904361,23243.997,3,3
198,2,78,8328.395,1,0.573619305,0.426380695,8328.395,0,0
199,2,79,2418.19,1,0.55536025,0.44463975,2418.19,2,3
200,2,80,7567.203,1,0.557549973,0.442450027,7568.203,0,2
201,2,81,3128.203,0,0.680757252,0.319242748,3128.203,0,0
202,2,82,4282.243,1,0.567686028,0.432313972,4282.243,3,5
203,2,83,11387.791,1,0.463497463,0.536502537,11387.791,7,6
204,2,84,6243.72,1,0.554966514,0.445033486,6243.72,5,6
205,2,85,7674.5,1,0.551714952,0.448285048,7674.5,5,3
206,2,86,13351.711,0,0.541425997,0.458574003,13351.711,3,3
207,2,87,15023.755,0,0.433544763,0.566455237,15023.755,5,3
208,2,88,4556.762,1,0.590291838,0.409708162,4558.762,3,5
209,2,89,8987.876,0,0.461859837,0.538140163,8987.876,5,3
210,2,90,10619.167,0,0.510633947,0.489366053,10619.167,3,2
211,2,91,3456.776,1,0.579571462,0.420428538,3456.776,3,5
212,2,92,6730.993,0,0.638897193,0.361102807,6730.993,4,3
213,2,93,6897.652,0,0.578349524,0.421650476,6897.652,0,0
214,2,94,7074.372,1,0.571056911,0.428943089,7233.372,5,6
215,2,95,4346.168,1,0.65342494,0.34657506,4187.168,3,4
216,2,96,15269.582,0,0.514770212,0.485229788,15271.582,2,0
217,2,97,5680.574,1,0.609101517,0.390898483,5680.574,0,0
218,2,98,6420.155,0,0.638439122,0.361560878,6422.155,6,5
219,2,99,7512.655,1,0.554604811,0.445395189,7512.655,3,3
220,2,100,4470.683,1,0.498582171,0.501417829,4472.683,0,0
221,2,101,15616.594,0,0.515201226,0.484798774,15619.594,0,0
222,2,102,5593.92,0,0.572665398,0.427334602,5593.92,2,0
223,2,103,7397.905,1,0.772814659,0.227185341,7399.905,7,6
224,2,104,4188.963,1,0.460753292,0.539246708,4190.963,0,0
225,2,105,11009.734,1,0.655245662,0.344754338,11009.734,0,2
226,2,106,12227.283,1,0.436591916,0.563408084,12227.283,4,3
227,2,107,6611.683,0,0.56514396,0.43485604,6613.683,0,0
228,2,108,6072.679,0,0.612224411,0.387775589,6075.679,0,0
229,2,109,6999.655,1,0.500928523,0.499071477,6999.655,3,4
230,2,110,3228.329,1,0.560864904,0.439135096,3228.329,0,2
231,2,111,4967.049,0,0.610371884,0.389628116,4967.049,2,0
232,2,112,12912.862,1,0.544778712,0.455221288,12912.862,7,6
233,2,113,5397.382,1,0.554018539,0.445981461,5397.382,2,3
234,2,114,9558.551,0,0.680524303,0.319475697,9558.551,3,2
235,2,115,6003.087,1,0.699103343,0.300896657,6003.087,2,3
236,2,116,18304.296,1,0.517726171,0.482273829,18304.296,6,7
237,2,117,4058.755,1,0.653709635,0.346290365,4058.755,6,7
238,2,118,23107.279,1,0.465260204,0.534739796,23107.279,6,7
239,2,119,7476.425,0,0.618019574,0.381980426,8641.425,6,5
240,3,0,8280.333,1,0.535698561,0.464301439,8280.333,6,7
241,3,1,7167.467,1,0.521027287,0.478972713,7513.467,0,0
242,3,2,8070.478,1,0.366108881,0.633891119,7724.478,0,0
243,3,3,4998.854,0,0.698955366,0.301044634,5365.854,2,0
244,3,4,7020.031,1,0.396100379,0.603899621,6653.031,0,0
245,3,5,5506.326,1,0.486609405,0.513390595,5506.326,5,6
246,3,6,5346.013,1,0.559907834,0.440092166,5705.013,3,3
247,3,7,6129.209,0,0.619768832,0.380231168,6169.209,6,5
248,3,8,9167.056,0,0.539389463,0.460610537,9611.056,0,0
249,3,9,7253.443,1,0.518127581,0.481872419,6842.443,6,5
250,3,10,5005.184,1,0.463347165,0.536652835,5007.184,0,0
251,3,11,5040.511,1,0.438075585,0.561924415,4606.511,3,4
252,3,12,7641.814,0,0.59315028,0.40684972,7885.814,0,2
253,3,13,3350.826,1,0.5409699,0.4590301,3371.826,0,0
254,3,14,3213.827,1,0.589779986,0.410220014,3283.827,6,7
255,3,15,5841.773,0,0.571709426,0.428290574,5506.773,5,3
256,3,16,2625.496,1,0.535692104,0.464307896,2625.496,2,3
257,3,17,4849.473,1,0.488130698,0.511869302,4849.473,4,3
258,3,18,3451.203,1,0.451743715,0.548256285,3902.203,5,6
259,3,19,7469.588,0,0.540899797,0.459100203,7018.588,2,0
260,3,20,3372.03,0,0.576283442,0.423716558,3648.03,0,0
261,3,21,6138.022,0,0.574890712,0.425109288,5862.022,6,7
262,3,22,6402.819,0,0.518623467,0.481376533,6402.819,3,3
263,3,23,4444.338,1,0.468469475,0.531530525,4444.338,3,5
264,3,24,2608.586,1,0.38134715,0.61865285,3041.586,0,0
265,3,25,5440.032,1,0.471543222,0.528456778,5007.032,0,2
266,3,26,5260.323,0,0.633438443,0.366561557,5260.323,0,0
267,3,27,2857.7,1,0.507488987,0.492511013,3234.7,6,5
268,3,28,4622.699,0,0.618259804,0.381740196,4555.699,7,6
269,3,29,4792.599,0,0.670713195,0.329286805,4482.599,7,6
270,3,30,6148.765,0,0.571692535,0.428307465,6497.765,7,6
271,3,31,4290.5,1,0.569994423,0.430005577,4300.5,6,7
272,3,32,5208.041,0,0.558757317,0.441242683,5255.041,6,7
273,3,33,3034.445,1,0.575245059,0.424754941,2628.445,0,0
274,3,34,3584.427,0,0.539908893,0.460091107,3584.427,3,3
275,3,35,6892.869,0,0.699638515,0.300361485,7255.869,7,6
276,3,36,2476.989,1,0.468308965,0.531691035,2113.989,3,2
277,3,37,5866.721,0,0.583522298,0.416477702,6186.721,3,3
278,3,38,7484.359,1,0.45231377,0.54768623,7504.359,7,6
279,3,39,2500.835,1,0.591438032,0.408561968,2160.835,5,6
280,3,40,3428.153,0,0.734402737,0.265597263,3155.153,7,6
281,3,41,2432.49,1,0.480300678,0.519699322,2432.49,0,2
282,3,42,4460.86,0,0.545592391,0.454407609,4460.86,2,0
283,3,43,3493.201,0,0.669247009,0.330752991,3930.201,3,2
284,3,44,3374.089,1,0.4276343,0.5723657,2937.089,5,6
285,3,45,2623.875,0,0.630392157,0.369607843,2891.875,2,0
286,3,46,4936.822,0,0.563989428,0.436010572,4668.822,5,3
287,3,47,6600.851,0,0.598836948,0.401163052,6600.851,3,3
288,3,48,3039.455,1,0.38854093,0.61145907,3039.455,6,7
289,3,49,4171.929,0,0.562903226,0.437096774,4415.929,2,0
290,3,50,2621.556,1,0.397894649,0.602105351,2377.556,6,7
291,3,51,4225.163,0,0.531341273,0.468658727,4225.163,2,0
292,3,52,1730.156,1,0.356710987,0.643289013,1730.156,2,0
293,3,53,2161.17,0,0.630097486,0.369902514,2161.17,7,6
294,3,54,5793.635,0,0.483615618,0.516384382,5793.635,3,3
295,3,55,6880.526,0,0.517360025,0.482639975,7203.526,4,3
296,3,56,1503.644,1,0.447213555,0.552786445,1180.644,2,3
297,3,57,3599.021,1,0.205172414,0.794827586,3880.021,0,2
298,3,58,4647.386,1,0.49818324,0.50181676,4366.386,5,6
299,3,59,2104.608,0,0.642343031,0.357656969,2104.608,6,4
300,3,60,3663.508,1,0.431866651,0.568133349,3663.508,3,3
301,3,61,1428.75,1,0.447329843,0.552670157,1428.75,0,0
302,3,62,1818.229,1,0.357870645,0.642129355,1818.229,5,6
303,3,63,2621.649,1,0.496395143,0.503604857,2621.649,3,5
304,3,64,1861.231,0,0.597186701,0.402813299,2091.231,6,5
305,3,65,1986.401,0,0.646634615,0.353365385,2043.401,5,3
306,3,66,2072.406,1,0.383106139,0.616893861,1785.406,6,5
307,3,67,2149.11,0,0.616468039,0.383531961,2765.11,3,2
308,3,68,1708.406,1,0.216036895,0.783963105,1092.406,0,2
309,3,69,1849.511,1,0.283215959,0.716784041,1849.511,5,6
310,3,70,1632.089,1,0.400662252,0.599337748,1827.089,0,2
311,3,71,1427.93,0,0.66908097,0.33091903,1232.93,6,5
312,3,72,2591.58,1,0.389858307,0.610141693,2591.58,4,6
313,3,73,3163.686,1,0.401476015,0.598523985,3507.686,6,5
314,3,74,2995.507,1,0.189989785,0.810010215,2914.507,3,5
315,3,75,2408.271,1,0.230235784,0.769764216,2382.271,3,4
316,3,76,1715.706,1,0.369661267,0.630338733,1728.706,0,2
317,3,77,4161.494,0,0.599641467,0.400358533,3911.494,3,3
318,3,78,4250.03,1,0.126687012,0.873312988,4250.03,0,0
319,3,79,1883.502,1,0.302827239,0.697172761,1883.502,2,3
320,3,80,3463.021,1,0.477657485,0.522342515,3463.021,0,2
321,3,81,4614.063,1,0.517150396,0.482849604,4992.063,0,0
322,3,82,3670.417,1,0.473147519,0.526852481,3558.417,3,5
323,3,83,1955.291,0,0.595744681,0.404255319,2021.291,7,6
324,3,84,2539.423,1,0.284494635,0.715505365,2207.423,5,6
325,3,85,2504.688,0,0.617121355,0.382878645,2782.688,5,3
326,3,86,2264.841,0,0.617483231,0.382516769,1986.841,3,3
327,3,87,3871.268,0,0.539272274,0.460727726,3871.268,5,3
328,3,88,2988.316,0,0.577517021,0.422482979,2988.316,3,5
329,3,89,3182.992,0,0.627873563,0.372126437,3423.992,5,3
330,3,90,2879.908,1,0.469133445,0.530866555,2638.908,3,2
331,3,91,3832.523,1,0.561487415,0.438512585,3832.523,3,5
332,3,92,3374.473,0,0.729677699,0.270322301,3374.473,4,3
333,3,93,4296.539,0,0.463253846,0.536746154,4296.539,0,0
334,3,94,1664.744,1,0.364583045,0.635416955,1664.744,5,6
335,3,95,1615.953,1,0.313281163,0.686718837,1615.953,3,4
336,3,96,3923.588,1,0.353969061,0.646030939,3923.588,2,0
337,3,97,4026.835,1,0.326970723,0.673029277,4026.835,0,0
338,3,98,1902.077,0,0.589142982,0.410857018,1902.077,6,5
339,3,99,5104.126,1,0.380628639,0.619371361,5104.126,3,3
340,3,100,2092.791,1,0.29587156,0.70412844,2371.791,0,0
341,3,101,1598.885,1,0.387912583,0.612087417,1319.885,0,0
342,3,102,3318.872,0,0.578125,0.421875,3829.872,2,0
343,3,103,4246.255,0,0.572762219,0.427237781,4136.255,7,6
344,3,104,4098.269,1,0.300199051,0.699800949,3697.269,0,0
345,3,105,4183.034,0,0.484038911,0.515961089,4183.034,0,2
346,3,106,1733.372,1,0.380581267,0.619418733,1733.372,4,3
347,3,107,4202.163,1,0.35804782,0.64195218,4202.163,0,0
348,3,108,2356.3,0,0.490374873,0.509625127,2707.3,0,0
349,3,109,1870.494,1,0.325108227,0.674891773,1519.494,3,4
350,3,110,1738.671,1,0.392405063,0.607594937,1941.671,0,2
351,3,111,2082.474,1,0.287314429,0.712685571,1879.474,2,0
352,3,112,2463.471,1,0.440175695,0.559824305,2463.471,7,6
353,3,113,1543.887,1,0.339590444,0.660409556,1799.887,2,3
354,3,114,2664.14,0,0.547920434,0.452079566,2578.14,3,2
355,3,115,6240.445,1,0.356810745,0.643189255,6070.445,2,3
356,3,116,2168.694,1,0.40801509,0.59198491,2168.694,6,7
357,3,117,2788.367,0,0.640389725,0.359610275,3015.367,6,7
358,3,118,1900.364,1,0.38246311,0.61753689,1673.364,6,7
359,3,119,2711.223,1,0.272440514,0.727559486,2711.223,6,5
360,4,0,3753.06,1,0.471481336,0.528518664,3525.06,6,7
361,4,1,2852.768,1,0.534293743,0.465706257,2852.768,0,0
362,4,2,7578.454,1,0.558374983,0.441625017,7578.454,0,0
363,4,3,19368.146,0,0.470161877,0.529838123,19368.146,2,0
364,4,4,3215.312,1,0.466484089,0.533515911,3215.312,0,0
365,4,5,1942.017,1,0.617667925,0.382332075,1942.017,5,6
366,4,6,1587.571,1,0.560239583,0.439760417,1587.571,3,3
367,4,7,2246.732,0,0.644321042,0.355678958,2246.732,6,5
368,4,8,2550.21,0,0.56159335,0.43840665,2550.21,0,0
369,4,9,5602.05,1,0.479721536,0.520278464,5602.05,6,5
370,4,10,1793.482,1,0.567954729,0.432045271,1793.482,0,0
371,4,11,5781.335,1,0.767480812,0.232519188,5781.335,3,4
372,4,12,1880.978,1,0.628707817,0.371292183,1880.978,0,2
373,4,13,3078.102,1,0.519508065,0.480491935,3080.102,0,0
374,4,14,9843.826,1,0.503609822,0.496390178,9843.826,6,7
375,4,15,11180.726,0,0.438233325,0.561766675,11180.726,5,3
376,4,16,1902.12,1,0.477868389,0.522131611,1902.12,2,3
377,4,17,1910.42,1,0.628426829,0.371573171,1910.42,4,3
378,4,18,2634.23,1,0.499746416,0.500253584,2634.23,5,6
379,4,19,2586.458,1,0.472154648,0.527845352,2586.458,2,0
380,4,20,4955.317,1,0.505448242,0.494551758,4955.317,0,0
381,4,21,2957.897,1,0.520265216,0.479734784,2957.897,6,7
382,4,22,11515.408,1,0.466909773,0.533090227,11515.408,3,3
383,4,23,2351.575,1,0.633862913,0.366137087,2351.575,3,5
384,4,24,3137.373,1,0.467783785,0.532216215,3137.373,0,0
385,4,25,1736.937,1,0.495095989,0.504904011,1736.937,0,2
386,4,26,2057.448,1,0.38075816,0.61924184,2057.448,0,0
387,4,27,11483.744,1,0.540569517,0.459430483,11483.744,6,5
388,4,28,1873.12,0,0.620075385,0.379924615,1873.12,7,6
389,4,29,3187.65,0,0.538639371,0.461360629,3187.65,7,6
390,4,30,5174.183,0,0.543936374,0.456063626,5174.183,7,6
391,4,31,6284.96,1,0.510113512,0.489886488,6284.96,6,7
392,4,32,2648.892,1,0.645635534,0.354364466,2648.892,6,7
393,4,33,3745.233,1,0.476104849,0.523895151,3745.233,0,0
394,4,34,5846.379,1,0.587456616,0.412543384,5846.379,3,3
395,4,35,2244.629,1,0.700191042,0.299808958,2244.629,7,6
396,4,36,4492.143,0,0.565354135,0.434645865,4492.143,3,2
397,4,37,2831.068,1,0.518519198,0.481480802,2831.068,3,3
398,4,38,5841.602,1,0.58147573,0.41852427,5841.602,7,6
399,4,39,2507.425,1,0.694322681,0.305677319,2507.425,5,6
400,4,40,17445.725,0,0.487261657,0.512738343,17445.725,7,6
401,4,41,1605.944,1,0.444141941,0.555858059,1605.944,0,2
402,4,42,4883.308,0,0.566038072,0.433961928,4883.308,2,0
403,4,43,1537.096,1,0.412855319,0.587144681,1537.096,3,2
404,4,44,2097.817,1,0.653833239,0.346166761,2097.817,5,6
405,4,45,6545.841,1,0.539638538,0.460361462,6545.841,2,0
406,4,46,5068.047,0,0.595353665,0.404646335,5068.047,5,3
407,4,47,10908.364,1,0.471467486,0.528532514,10908.364,3,3
408,4,48,4783.775,1,0.659470114,0.340529886,4783.775,6,7
